user_id,created_at,category,amount
user_1,2024-01-09,Shopping,-369.78
user_1,2024-01-12,Cinema,-53.15
user_1,2024-01-22,Withdrawal,-266.07
user_1,2024-01-29,Subscriptions,-193.8
user_1,2024-01-13,Flat Bills,-477.97
user_1,2024-01-15,Medicine,-169.5
user_1,2024-01-27,Charity,-413.47
user_1,2024-01-21,Phone Bills,-459.81
user_1,2024-01-25,Rent,-443.0
user_1,2024-01-27,Other,-185.08
user_1,2024-01-24,Taxes,-198.86
user_1,2024-01-02,Taxi,-107.77
user_1,2024-01-24,Entertainment,-187.21
user_1,2024-01-06,Pets,-446.45
user_1,2024-01-06,Sport,-472.65
user_1,2024-01-04,Gas,-87.65
user_1,2024-01-18,Income,276.29
user_1,2024-01-21,Car,-77.86
user_1,2024-01-26,Transfer,-438.5
user_1,2024-01-17,Services,-18.73
user_1,2024-01-12,Supermarkets,-205.58
user_1,2024-01-04,Savings,-292.28
user_1,2024-01-05,Present,-293.77
user_1,2024-01-29,Loans,-51.62
user_1,2024-01-13,Payments by details,-317.38
user_1,2024-01-16,Flowers,-218.79
user_1,2024-01-06,Box,-331.28
user_1,2024-01-27,Cafe,-239.09
user_1,2024-02-03,Shopping,-405.25
user_1,2024-02-04,Cinema,-105.86
user_1,2024-02-23,Withdrawal,-415.29
user_1,2024-02-20,Subscriptions,-202.78
user_1,2024-02-20,Flat Bills,-31.79
user_1,2024-02-06,Medicine,-242.17
user_1,2024-02-25,Charity,-477.83
user_1,2024-02-04,Phone Bills,-498.14
user_1,2024-02-09,Rent,-455.7
user_1,2024-02-17,Other,-72.41
user_1,2024-02-23,Taxes,-133.21
user_1,2024-02-05,Taxi,-136.45
user_1,2024-02-26,Entertainment,-271.2
user_1,2024-02-11,Pets,-208.61
user_1,2024-02-08,Sport,-460.17
user_1,2024-02-05,Gas,-81.69
user_1,2024-02-05,Income,302.95
user_1,2024-02-17,Car,-214.68
user_1,2024-02-09,Transfer,-118.27
user_1,2024-02-29,Services,-478.97
user_1,2024-02-14,Supermarkets,-240.28
user_1,2024-02-25,Savings,-248.0
user_1,2024-02-27,Present,-327.25
user_1,2024-02-05,Loans,-482.16
user_1,2024-02-22,Payments by details,-335.89
user_1,2024-02-02,Flowers,-35.38
user_1,2024-02-22,Box,-241.57
user_1,2024-02-13,Cafe,-115.93
user_1,2024-03-11,Shopping,-305.53
user_1,2024-03-14,Cinema,-198.72
user_1,2024-03-15,Withdrawal,-321.37
user_1,2024-03-02,Subscriptions,-349.03
user_1,2024-03-19,Flat Bills,-148.07
user_1,2024-03-15,Medicine,-92.77
user_1,2024-03-15,Charity,-433.37
user_1,2024-03-13,Phone Bills,-91.94
user_1,2024-03-10,Rent,-35.87
user_1,2024-03-05,Other,-117.43
user_1,2024-03-21,Taxes,-392.2
user_1,2024-03-10,Taxi,-216.45
user_1,2024-03-29,Entertainment,-404.33
user_1,2024-03-17,Pets,-493.35
user_1,2024-03-13,Sport,-315.54
user_1,2024-03-20,Gas,-349.57
user_1,2024-03-29,Income,314.62
user_1,2024-03-10,Car,-231.88
user_1,2024-03-27,Transfer,-140.71
user_1,2024-03-03,Services,-49.93
user_1,2024-03-26,Supermarkets,-394.51
user_1,2024-03-18,Savings,-483.28
user_1,2024-03-09,Present,-469.28
user_1,2024-03-17,Loans,-115.0
user_1,2024-03-27,Payments by details,-159.62
user_1,2024-03-21,Flowers,-120.26
user_1,2024-03-25,Box,-469.93
user_1,2024-03-15,Cafe,-109.91
user_1,2024-04-14,Shopping,-135.75
user_1,2024-04-04,Cinema,-459.91
user_1,2024-04-24,Withdrawal,-302.16
user_1,2024-04-29,Subscriptions,-147.83
user_1,2024-04-04,Flat Bills,-88.26
user_1,2024-04-26,Medicine,-270.73
user_1,2024-04-24,Charity,-414.66
user_1,2024-04-08,Phone Bills,-224.48
user_1,2024-04-21,Rent,-474.68
user_1,2024-04-09,Other,-111.11
user_1,2024-04-04,Taxes,-74.97
user_1,2024-04-27,Taxi,-467.18
user_1,2024-04-29,Entertainment,-356.22
user_1,2024-04-27,Pets,-136.3
user_1,2024-04-27,Sport,-408.4
user_1,2024-04-09,Gas,-15.82
user_1,2024-04-22,Income,106.53
user_1,2024-04-10,Car,-459.74
user_1,2024-04-28,Transfer,-128.4
user_1,2024-04-20,Services,-406.46
user_1,2024-04-22,Supermarkets,-335.03
user_1,2024-04-20,Savings,-395.93
user_1,2024-04-23,Present,-368.33
user_1,2024-04-29,Loans,-490.79
user_1,2024-04-11,Payments by details,-155.73
user_1,2024-04-07,Flowers,-187.42
user_1,2024-04-13,Box,-278.21
user_1,2024-04-08,Cafe,-97.83
user_1,2024-05-13,Shopping,-243.99
user_1,2024-05-11,Cinema,-287.62
